entry,at,order
"""nad @ -kxVOncdJw"" folds",2026-03-27T03:52:38.674Z,177458355867400
"""1000 @ 8pAlpXMD6x"" posts a big blind of 10",2026-03-27T03:34:49.659Z,177458248965906
"""param @ 1c6V3eltlj"" posts a small blind of 5",2026-03-27T03:34:49.659Z,177458248965905
"Your hand is 2♦, 5♦, 9♣, 3♣",2026-03-27T03:34:49.659Z,177458248965904
"Player stacks: #1 ""1000 @ 8pAlpXMD6x"" (1000) | #2 ""nad @ -kxVOncdJw"" (1636) | #3 ""param @ 1c6V3eltlj"" (1364)",2026-03-27T03:34:49.659Z,177458248965901
"-- starting hand #98 (id: zgl2neleeuxt)  Pot Limit Omaha Hi (dealer: ""nad @ -kxVOncdJw"") --",2026-03-27T03:34:49.659Z,177458248965900
"-- ending hand #97 --",2026-03-27T03:34:39.226Z,177458247922602
"""1000 @ 8pAlpXMD6x"" collected 168 from pot with Two Pair, 7's & 6's (combination: 5♦, 6♣, 6♦, 7♣, 7♦)",2026-03-27T03:34:39.226Z,177458247922601
"""1000 @ 8pAlpXMD6x"" shows a 2♣, 7♣, 10♥, 6♣.",2026-03-27T03:34:39.226Z,177458247922600
"""nad @ -kxVOncdJw"" calls 14",2026-03-27T03:34:38.378Z,177458247837800
"""1000 @ 8pAlpXMD6x"" bets 14",2026-03-27T03:34:17.452Z,177458245745200
"""nad @ -kxVOncdJw"" checks",2026-03-27T03:34:02.440Z,177458244244000
"River: 2♦, 3♣, 7♦, 5♦ [6♦]",2026-03-27T03:33:56.307Z,177458243630700
"""nad @ -kxVOncdJw"" calls 35",2026-03-27T03:33:55.449Z,177458243544900
"""1000 @ 8pAlpXMD6x"" bets 35",2026-03-27T03:33:51.942Z,177458243194200
"""nad @ -kxVOncdJw"" checks",2026-03-27T03:33:49.533Z,177458242953300
"Turn: 2♦, 3♣, 7♦ [5♦]",2026-03-27T03:33:46.105Z,177458242610500
"""1000 @ 8pAlpXMD6x"" calls 20",2026-03-27T03:33:45.275Z,177458242527500
"""param @ 1c6V3eltlj"" folds",2026-03-27T03:33:41.950Z,177458242195000
"""nad @ -kxVOncdJw"" bets 20",2026-03-27T03:33:40.487Z,177458242048700
"Flop:  [2♦, 3♣, 7♦]",2026-03-27T03:33:36.699Z,177458241669900
"""param @ 1c6V3eltlj"" checks",2026-03-27T03:33:35.886Z,177458241588600
"""nad @ -kxVOncdJw"" calls 10",2026-03-27T03:33:34.511Z,177458241451100
"""1000 @ 8pAlpXMD6x"" calls 10",2026-03-27T03:33:31.884Z,177458241188400
"""param @ 1c6V3eltlj"" posts a big blind of 10",2026-03-27T03:33:25.346Z,177458240534606
"""nad @ -kxVOncdJw"" posts a small blind of 5",2026-03-27T03:33:25.346Z,177458240534605
"Your hand is K♠, 7♥, 10♦, 9♠",2026-03-27T03:33:25.346Z,177458240534604
"Player stacks: #1 ""1000 @ 8pAlpXMD6x"" (911) | #2 ""nad @ -kxVOncdJw"" (1715) | #3 ""param @ 1c6V3eltlj"" (1374)",2026-03-27T03:33:25.346Z,177458240534601
"-- starting hand #97 (id: zt2akvnveeo2)  Pot Limit Omaha Hi (dealer: ""1000 @ 8pAlpXMD6x"") --",2026-03-27T03:33:25.346Z,177458240534600
"-- ending hand #96 --",2026-03-27T03:33:19.292Z,177458239929203
