entry,at,order
"-- starting hand #100 (id: fq12zlihafue)  No Limit Texas Hold'em (dealer: ""Gagan @ GAGAN001"") --",2025-11-15 21:28:30+0000,2475
"Player stacks: #1 ""Param @ PARAM001"" (1959) | #2 ""Nadish @ NADSH001"" (25032) | #3 ""Raghav @ RGHAV001"" (6623) | #4 ""Gagan @ GAGAN001"" (769) | #5 ""Justin @ JSTN0001"" (1500) | #6 ""Anujan @ ANJN0001"" (8558)",2025-11-15 21:28:30+0000,2476
"Your hand is 4♣, 3♣",2025-11-15 21:28:30+0000,2477
"""Justin @ JSTN0001"" posts a small blind of 10",2025-11-15 21:28:30+0000,2478
"""Anujan @ ANJN0001"" posts a big blind of 20",2025-11-15 21:28:30+0000,2479
"""Param @ PARAM001"" folds",2025-11-15 21:28:30+0000,2480
"""Nadish @ NADSH001"" folds",2025-11-15 21:28:30+0000,2481
"""Raghav @ RGHAV001"" folds",2025-11-15 21:28:30+0000,2482
"""Gagan @ GAGAN001"" calls 20",2025-11-15 21:28:30+0000,2483
"""Justin @ JSTN0001"" folds",2025-11-15 21:28:30+0000,2484
"""Anujan @ ANJN0001"" checks",2025-11-15 21:28:30+0000,2485
"Flop:  [2♠, Q♠, A♦]",2025-11-15 21:28:30+0000,2486
"""Anujan @ ANJN0001"" checks",2025-11-15 21:28:30+0000,2487
"""Gagan @ GAGAN001"" bets 21",2025-11-15 21:28:30+0000,2488
"""Anujan @ ANJN0001"" folds",2025-11-15 21:28:30+0000,2489
"""Gagan @ GAGAN001"" collected 71 from pot",2025-11-15 21:28:30+0000,2490
"-- ending hand #100 --",2025-11-15 21:28:30+0000,2491
"-- starting hand #99 (id: bz1vprwbc1it)  No Limit Texas Hold'em (dealer: ""Raghav @ RGHAV001"") --",2025-11-15 21:27:00+0000,2443
"Player stacks: #1 ""Param @ PARAM001"" (2061) | #2 ""Nadish @ NADSH001"" (25134) | #3 ""Raghav @ RGHAV001"" (4951) | #4 ""Gagan @ GAGAN001"" (779) | #5 ""Justin @ JSTN0001"" (1592) | #6 ""Anujan @ ANJN0001"" (8558)",2025-11-15 21:27:00+0000,2444
"Your hand is J♠, Q♥",2025-11-15 21:27:00+0000,2445
"""Gagan @ GAGAN001"" posts a small blind of 10",2025-11-15 21:27:00+0000,2446
"""Justin @ JSTN0001"" posts a big blind of 20",2025-11-15 21:27:00+0000,2447
"""Anujan @ ANJN0001"" folds",2025-11-15 21:27:00+0000,2448
